company_name,2016/01/25 - 2016/01/31,2016/02/01 - 2016/02/07,2016/02/08 - 2016/02/14,2016/02/15 - 2016/02/21,2016/02/22 - 2016/02/28,2016/02/29 - 2016/03/06,2016/03/07 - 2016/03/13,2016/03/14 - 2016/03/20,2016/03/21 - 2016/03/27,2016/03/28 - 2016/04/03,2016/04/04 - 2016/04/10,2016/04/11 - 2016/04/17,2016/04/18 - 2016/04/24,2016/04/25 - 2016/05/01,2016/05/02 - 2016/05/08,2016/05/09 - 2016/05/15,2016/05/16 - 2016/05/22,2016/05/23 - 2016/05/29,2016/05/30 - 2016/06/05,2016/06/06 - 2016/06/12,2016/06/13 - 2016/06/19,2016/06/20 - 2016/06/26,2016/06/27 - 2016/07/03,2016/07/04 - 2016/07/10,2016/07/11 - 2016/07/17,2016/07/18 - 2016/07/24,2016/07/25 - 2016/07/31,2016/08/01 - 2016/08/07,2016/08/08 - 2016/08/14,2016/08/15 - 2016/08/21,2016/08/22 - 2016/08/28
Guesthouse Reservation Services (Cassimir Club),0,0,0,1,4,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0
Harris Williams,1,2,0,4,3,1,2,1,2,3,1,2,4,1,3,3,5,3,4,17,5,1,7,4,3,2,2,4,7,5,3
Humana,1,0,0,1,0,0,1,0,3,1,0,1,1,3,0,0,0,3,0,1,4,4,47,3,2,6,1,3,1,0,2
JP Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,74,20,34,12
Jet.com,0,4,1,0,1,0,0,4,2,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
KiwiTech,3,15,4,2,1,1,0,1,0,6,6,1,1,0,2,0,0,2,3,1,6,3,4,3,3,4,2,0,0,1,1
L'Oréal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,19,9,7
LLJ Capital,0,0,0,0,4,0,0,3,0,7,4,0,2,1,0,3,0,0,3,1,1,3,3,0,4,1,0,0,0,1,2
Livingstone Partners,1,7,0,0,1,0,0,1,0,5,1,0,1,1,0,0,0,0,0,1,1,1,3,0,1,3,0,0,0,1,0
M&T Bank,2,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,4,2,3,1,2,0,0,0,0,2,2,5,1
Mastercard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,6,5,1,5,0,1,3
McKinsey & Company,0,0,1,0,4,0,1,0,0,1,0,0,1,0,1,1,0,1,1,5,1,0,3,0,3,1,4,0,1,1,0
Medtronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,16,15,7,6,5
Morgan Stanley,2,0,1,1,0,0,1,0,5,6,4,5,7,7,8,0,5,3,3,5,10,5,7,1,4,3,3,9,4,3,2
Morningstar,0,3,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
National Microfinance Bank,0,14,3,2,0,3,0,3,1,5,0,1,2,0,1,1,1,1,3,3,1,2,2,2,1,0,0,1,1,1,0
Nestle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,8,17,5,8,6,5,3,7,3,2,4,2
Nike Inc.,2,15,2,0,3,0,0,2,0,5,2,0,0,0,3,0,0,0,0,1,6,0,2,1,138,74,31,30,12,12,10
Palantir Technologies,9,24,4,6,2,1,5,4,6,15,2,3,6,6,6,2,6,2,11,11,7,2,6,7,10,4,6,3,8,5,7
Peer Insight,4,10,1,4,4,1,0,0,2,3,1,4,3,2,4,4,5,1,8,2,6,2,3,3,6,3,2,6,0,4,4
PepsiCo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,51,17,6,10,6,7,7,2,2,1
"Premier, Inc.",1,7,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Privia Health,0,3,0,1,1,0,0,1,0,5,0,2,2,0,1,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0
PwC,3,4,4,2,2,2,5,4,15,6,14,7,19,6,5,4,19,9,16,28,20,8,13,16,9,7,10,30,46,28,8
Qualtrics,2,1,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Reckitt Benckiser (RB),0,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Red Hat,0,3,1,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Red Ventures,0,0,6,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
RelishMBA,1,0,0,2,0,0,1,1,1,2,0,0,2,0,1,2,4,1,0,1,2,0,4,2,0,2,2,1,3,1,1
Samsung Electronics America,0,8,2,1,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Siemens Healthcare,0,1,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Split,0,0,0,0,0,0,0,0,2,5,6,0,9,1,2,1,6,2,6,3,7,2,5,3,3,7,3,3,2,2,3
Technology Industry,0,7,8,1,0,1,4,2,8,11,5,5,7,13,3,7,10,2,2,4,11,2,9,3,8,8,4,2,2,5,5
The Beacon Group,0,0,1,0,3,0,1,1,1,3,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0
Thornburg Investment Management,2,5,2,1,4,2,2,2,0,2,0,0,1,1,0,1,0,0,1,1,0,1,3,0,3,0,0,0,0,1,0
Under Armour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107,21,18,9,12,8
VinConnect Inc.,0,0,0,2,2,0,0,1,0,6,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Walmart,1,5,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
Wooden Sun,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
WorkGenius,0,0,0,1,4,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Zillow,1,6,2,0,0,0,0,3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,2,0
